Date;Credit_Portfolio_Total_BRL_mn;Credit_Portfolio_Corporate_BRL_mn;Credit_Portfolio_Retail_BRL_mn;Delinquency_15-90d_Total_%;Delinquency_15-90d_Corporate_%;Delinquency_15-90d_Retail_%;Interest_Rate_NonEarmarked_Corporate_%am;Interest_Rate_NonEarmarked_Retail_%am;Default_Rate_Personal_NonPayroll_%;Default_Rate_Personal_Payroll_Private_%;Default_Rate_Revolving_Credit_Card_%;Default_Rate__Corporate_SMBs_%;Default_Rate_Corporate_Large_%;Unemployment_Rate_PNADC_%;Inflation_IPC-Br_%;Net_Debt_FedGov_CenBank_%GDP;Net_Debt_Consolidated_%GDP;Primary_Result_YTD_ex-FX_BRL_mn
01/02/2018;3074312;1405303;1669009;4.39;2.18;6.25;1.68;3.83;7.43;4.31;33.24;6.22;1.41;12.7;0.17;38.88;51.58;-29526.6
01/03/2018;3094386;1415763;1678623;4.58;2.22;6.57;1.61;3.81;7.4;4.32;34.2;5.61;1.39;13.2;0.17;39.07;51.83;-4391.32
01/04/2018;3103899;1414907;1688992;4.5;1.95;6.63;1.59;3.79;7.5;4.21;33.74;5.88;1.4;13;0.34;38.33;51.22;-7291.23
01/05/2018;3117593;1419445;1698149;4.74;2.58;6.54;1.57;3.61;7.36;4.27;34.87;5.8;1.48;12.8;0.41;37.61;50.67;932.82
01/06/2018;3138842;1432717;1706124;4.66;2.54;6.45;1.55;3.57;7.23;4.34;34.01;5.33;1.1;12.6;1.19;37.59;50.71;14424.02
01/07/2018;3134446;1420881;1713564;4.84;2.81;6.52;1.58;3.51;7.24;4.38;36.1;5.34;0.93;12.4;0.17;38.28;51.3;17824.67
01/08/2018;3166304;1434320;1731984;4.69;2.74;6.3;1.56;3.49;7.2;4.34;36.43;5.33;0.99;12.3;0.07;37.1;50.33;34700.22
01/09/2018;3181647;1440877;1740771;4.36;2.01;6.3;1.56;3.5;7.09;4.28;36.52;5.13;1.27;12;0.45;38.17;51.32;59321.4
01/10/2018;3177146;1417390;1759757;4.71;2.42;6.56;1.57;3.5;7.09;4.27;36.39;5.09;1.32;11.9;0.48;39.43;52.42;51523.3
01/11/2018;3212535;1427818;1784716;4.63;2.23;6.56;1.56;3.49;7.11;4.17;34.99;4.95;1.24;11.7;-0.17;39.03;52.2;67125.23
01/12/2018;3265064;1462037;1803027;4.16;1.75;6.11;1.45;3.33;7.05;4.3;36.55;4.91;1.06;11.7;0.29;39.46;52.77;108258.2
01/01/2019;3237076;1423002;1814074;4.21;1.76;6.13;1.55;3.46;7.02;4.29;35.69;4.77;1.19;12.2;0.57;40.13;53.11;-46897.38
01/02/2019;3247396;1424211;1823184;4.08;1.71;5.93;1.51;3.55;6.88;4.08;33.58;4.52;1.21;12.6;0.35;40.15;53.1;-31966.59
01/03/2019;3273000;1436695;1836305;4.47;1.78;6.58;1.51;3.59;7.05;4.07;34.5;4.69;1.29;12.8;0.65;39.95;53.04;-13337.35
01/04/2019;3272570;1420024;1852546;4.54;2.1;6.41;1.52;3.58;7.02;4.03;34.24;4.58;1.44;12.6;0.63;39.91;53.05;-19974.43
01/05/2019;3291212;1420549;1870663;4.7;2.59;6.3;1.49;3.54;7.27;4.01;34.75;4.73;1.37;12.4;0.22;40.13;53.24;-6966.44
01/06/2019;3301611;1419273;1882338;4.45;1.68;6.55;1.43;3.56;7.43;3.88;33.49;4.22;1.37;12.1;-0.02;40.75;53.82;5739.78
01/07/2019;3296187;1396922;1899265;4.47;1.68;6.53;1.47;3.5;7.52;3.89;34.83;4.52;1.3;12;0.31;41.31;54.27;8502.76
01/08/2019;3333007;1411215;1921792;4.46;1.71;6.49;1.44;3.48;7.28;3.84;35.89;4.37;1.26;11.9;0.17;40.09;53.31;21950.41
01/09/2019;3368801;1427524;1941277;4.25;1.45;6.3;1.34;3.43;7.5;3.88;36.09;4.22;1.32;11.9;0;40.42;53.64;42491.1
01/10/2019;3380309;1415578;1964732;4.36;1.69;6.29;1.34;3.35;7.53;3.87;36.92;4.09;1.31;11.8;-0.09;41.02;54.11;33046.75
01/11/2019;3423121;1435147;1987974;4.32;1.62;6.27;1.33;3.38;7.51;3.94;36.83;3.87;1.3;11.3;0.49;40.59;53.79;48359.21
01/12/2019;3475872;1458826;2017046;4.25;1.67;6.11;1.26;3.21;7.72;4.07;37.95;3.71;1.21;11.1;0.77;41.66;54.7;61871.86
01/01/2020;3465268;1431634;2033634;4.19;1.63;5.99;1.36;3.19;7.74;4.09;34.6;3.79;1.24;11.4;0.59;40.14;53.19;-56275.83
01/02/2020;3484672;1442009;2042663;4.2;1.73;5.94;1.31;3.25;7.68;4.14;35.99;3.76;1.2;11.8;-0.01;39.47;52.54;-35374.83
01/03/2020;3583416;1534303;2049113;4.2;1.8;5.99;1.28;3.23;7.98;4.16;38.87;3.79;1.24;12.4;0.34;37.11;50.63;-11719.51
01/04/2020;3584113;1554328;2029785;4.11;3.03;4.94;1.23;3.08;8.22;4.17;39.21;4.07;1.29;12.7;-0.18;37.77;51.58;82583.04
01/05/2020;3596014;1568161;2027853;3.41;2.43;4.16;1.11;3.02;8.14;4.03;41.59;4.16;1.26;13.1;-0.54;39.73;53.72;214021.1
01/06/2020;3623049;1581817;2041232;2.87;1.88;3.63;1.01;2.85;7.52;4.02;42.49;3.21;1.08;13.6;0.36;42.28;56.24;402702.61
01/07/2020;3670324;1609796;2060528;2.91;1.82;3.76;0.97;2.79;7.16;4;44.13;2.76;1;14.1;0.49;44.4;58.12;483773.49
01/08/2020;3742022;1649768;2092254;2.69;1.34;3.76;0.97;2.74;6.7;4.02;43.85;2.36;1.23;14.8;0.53;44.87;58.67;571367.14
01/09/2020;3820914;1697670;2123244;2.54;1.05;3.73;0.91;2.69;5.82;4.04;42.94;1.99;0.97;14.9;0.82;45.53;59.3;635925.72
01/10/2020;3878657;1719393;2159264;2.95;1.31;4.25;0.94;2.74;5.66;4.06;41.71;1.98;0.92;14.6;0.65;45.39;59.15;632973.21
01/11/2020;3957260;1751350;2205910;2.99;1.28;4.34;0.96;2.68;5.65;4.1;35.98;1.92;0.64;14.4;0.94;47.14;60.58;651113.02
01/12/2020;4020169;1780450;2239719;2.85;1.32;4.07;0.92;2.61;5.08;4.16;37.12;1.92;0.55;14.2;1.07;47.98;61.37;702950.23
01/01/2021;4017481;1764350;2253131;2.98;1.33;4.28;1.18;2.75;5.07;4.07;34.42;2.08;0.46;14.5;0.27;46.72;59.71;-58374.62
01/02/2021;4044845;1774313;2270532;3.03;1.24;4.43;1.08;2.8;5.02;4.09;30.41;2.13;0.7;14.6;0.54;46.74;59.5;-46604.84
01/03/2021;4106449;1809384;2297064;3.19;1.25;4.71;1.08;2.84;5.08;4.05;30.12;2.28;0.36;14.9;1;45.9;58.53;-51586.01
01/04/2021;4126914;1804880;2322034;3.24;1.41;4.67;1.15;2.87;5.16;3.96;28.67;2.42;0.4;14.8;0.23;45.57;57.71;-75841.44
01/05/2021;4175472;1814790;2360682;3.13;1.21;4.61;1.14;2.78;5.01;3.96;29.89;2.86;0.39;14.7;0.81;45.75;57.53;-60300.02
01/06/2021;4212400;1814263;2398138;3.01;1.11;4.44;1.13;2.79;4.94;3.91;30.98;2.73;0.37;14.2;0.64;47.01;58.43;5208.07
01/07/2021;4269669;1830524;2439145;2.97;1.13;4.36;1.21;2.77;4.82;3.93;32.59;2.77;0.43;13.7;0.92;46.53;57.77;15491.21
01/08/2021;4344165;1848208;2495958;2.93;1.15;4.25;1.26;2.82;4.9;3.96;32.95;2.36;0.4;13.1;0.71;46.45;57.18;-1237.39
01/09/2021;4439121;1891192;2547929;2.89;1.02;4.27;1.32;2.87;4.88;4.04;36.67;2.32;0.49;12.6;1.43;45.54;56.17;-14170.86
01/10/2021;4509925;1907849;2602076;3;1.02;4.45;1.45;2.99;4.91;4.04;37.3;2.34;0.48;12.1;0.77;44.69;55.21;-49570.22
01/11/2021;4595047;1929659;2665388;3.1;1.06;4.57;1.53;3.06;4.75;4.1;36.68;2.39;0.45;11.6;1.08;44.68;54.98;-64604.3
01/12/2021;4679575;1970605;2708971;2.94;1.06;4.31;1.51;3.1;4.94;4.49;39.47;2.4;0.36;11.1;0.57;44.71;55.11;-64727.49
01/01/2022;4679385;1943805;2735580;3.3;1.18;4.81;1.62;3.17;5.23;4.86;39.8;2.47;0.37;11.2;0.49;44.79;54.82;-101833.12
